GET https://xtmijd.com/assets/dashboard-BzUyd_nZ.js → 200 (?ms, 632B)
GET https://xtmijd.com/assets/factory-command-DE_SGdF9.js → 200 (?ms, 732B)
GET https://xtmijd.com/assets/reportStatus-C-5TYhW1.js → 200 (?ms, 358B)
GET https://xtmijd.com/assets/useDashboardSnapshot-vwSoFMGv.css → 200 (?ms, 6853B)
GET https://xtmijd.com/assets/factoryCommandFormatters-BpIkMj1d.js → 200 (32ms, 1339B)
GET https://xtmijd.com/assets/stitchManageSurface-DScKiJzj.js → 200 (?ms, 24511B)
GET https://xtmijd.com/assets/missingReportRows-LKoeCFkN.js → 200 (?ms, 4082B)
GET https://xtmijd.com/assets/display-DKKrQ2kI.js → 200 (?ms, 4746B)
GET https://xtmijd.com/assets/ProductionPage-BZXF7A_X.css → 200 (3ms, 16885B)
GET https://xtmijd.com/assets/echarts-hud-D4ZePZfi.js → 200 (?ms, 1328B)
GET https://xtmijd.com/api/v1/dashboard/factory-director?target_date=2026-06-16 → 200 (7134ms, 269597B)
GET https://xtmijd.com/api/v1/dashboard/daily-production?target_date=2026-06-16 → 200 (3269ms, 6178B)
GET https://xtmijd.com/api/v1/factory-command/overview?target_date=2026-06-16 → 200 (4075ms, 1852B)
GET https://xtmijd.com/manage/workshop-dashboard → 200 (2ms, 1175B)
GET https://xtmijd.com/assets/index-CdWOVxH-.js → 200 (3ms, 43310B)
GET https://xtmijd.com/assets/rolldown-runtime-S-ySWqyJ.js → 200 (?ms, 694B)
GET https://xtmijd.com/assets/vendor-wc7BmRed.js → 200 (?ms, 487996B)
GET https://xtmijd.com/assets/vendor-form-ahU4H2O-.js → 200 (?ms, 16537B)
GET https://xtmijd.com/assets/vendor-dayjs-B4p_5sCw.js → 200 (?ms, 16291B)
GET https://xtmijd.com/assets/vendor-ui-De2Q8m8R.js → 200 (?ms, 382525B)
GET https://xtmijd.com/assets/vendor-vue-BO9-Bp0g.js → 200 (?ms, 30721B)
GET https://xtmijd.com/assets/vendor-axios-DCteP740.js → 200 (?ms, 41095B)
GET https://xtmijd.com/assets/auth-9jcO7Tvr.js → 200 (?ms, 7325B)
GET https://xtmijd.com/assets/vendor-ui-C-nkr9qM.css → 200 (?ms, 173411B)
GET https://xtmijd.com/assets/index-BGQDHNcc.css → 200 (?ms, 33539B)
GET https://xtmijd.com/api/v1/user/preferences → 200 (426ms, 14B)
GET https://xtmijd.com/assets/ManageShell-CDaSPArB.js → 200 (?ms, 19050B)
GET https://xtmijd.com/assets/AiWatchlistPanel-DQJwPN3z.js → 200 (11ms, 19604B)
GET https://xtmijd.com/assets/AiWatchlistPanel-CIwvS96_.css → 200 (?ms, 5623B)
GET https://xtmijd.com/assets/xt-DOFvG6Er.js → 200 (?ms, 11206B)
GET https://xtmijd.com/assets/XtEmpty-iwOwa1ti.js → 200 (?ms, 560B)
GET https://xtmijd.com/assets/XtEmpty-Csv6QXmp.css → 200 (?ms, 688B)
GET https://xtmijd.com/assets/XtSkeleton-BR3AQkDT.js → 200 (?ms, 882B)
GET https://xtmijd.com/assets/XtSkeleton-BDji5_MU.css → 200 (?ms, 669B)
GET https://xtmijd.com/assets/xt-D5NlJp_t.css → 200 (?ms, 12179B)
GET https://xtmijd.com/assets/ManageShell-RwPMXyPn.css → 200 (?ms, 29828B)
GET https://xtmijd.com/assets/WorkshopDashboardPage-N4Un58K0.js → 200 (31ms, 12267B)
GET https://xtmijd.com/assets/dashboard-BzUyd_nZ.js → 200 (?ms, 632B)
GET https://xtmijd.com/assets/master-C9TgrCOP.js → 200 (31ms, 2177B)
GET https://xtmijd.com/assets/mes-Ba8keBpL.js → 200 (33ms, 392B)
GET https://xtmijd.com/assets/realtime-CJ2gs344.js → 200 (?ms, 944B)
GET https://xtmijd.com/assets/DateSwitcher-HmChsbP8.js → 200 (?ms, 4247B)
GET https://xtmijd.com/assets/shiftClock-CIiH43GB.js → 200 (?ms, 1484B)
GET https://xtmijd.com/assets/DateSwitcher-Cg1-Pfz8.css → 200 (?ms, 6675B)
GET https://xtmijd.com/assets/MissingReportPanel-C1a-jTu2.js → 200 (?ms, 2847B)
GET https://xtmijd.com/assets/missingReportRows-LKoeCFkN.js → 200 (?ms, 4082B)
GET https://xtmijd.com/assets/display-DKKrQ2kI.js → 200 (?ms, 4746B)
GET https://xtmijd.com/assets/MissingReportPanel-CO0V6Tuh.css → 200 (?ms, 5047B)
GET https://xtmijd.com/assets/downloadBlob-DShtMGT0.js → 200 (32ms, 235B)
GET https://xtmijd.com/assets/manageFillDetailsAudit-B3_g1Ceq.js → 200 (32ms, 7741B)
GET https://xtmijd.com/assets/WorkshopDashboardPage-D1LhzuML.css → 200 (5ms, 9228B)
GET https://xtmijd.com/assets/echarts-hud-D4ZePZfi.js → 200 (?ms, 1328B)
GET https://xtmijd.com/api/v1/master/workshops?limit=300 → 200 (377ms, 1618B)
GET https://xtmijd.com/api/v1/dashboard/workshop-director?target_date=2026-06-17&workshop_id=1 → 200 (3674ms, 14316B)
GET https://xtmijd.com/api/v1/aggregation/live?business_date=2026-06-17&workshop_id=1 → 200 (2407ms, 9211B)
GET https://xtmijd.com/api/v1/aggregation/live/fill-details?business_date=2026-06-17&limit=800&workshop_id=1 → 200 (569ms, 1033B)
GET https://xtmijd.com/api/v1/aggregation/live/pending-assignment?business_date=2026-06-17&workshop_id=1 → 200 (424ms, 227B)
